"ITEM CODE";"PARTICULARS";"UOM";"CASE SIZE";"SALE UOM BREAKUP";"SALE UOM (ml/no)";"COST PRICE BTL";"COST PRICE SML/GLS";"COST PRICE ML";"Big Bang Bandra";"BKC";"Lower Parel";"Juhu";"Colaba";"Andheri";"Malad";"Dadar";"THANE";"Chembur";"TOTAL STOCK";"TOTAL CASES";"TOTAL AMOUNT"
"BEER: DOMESTIC";"FOSTER BEER                   ";1;24;1;1;45.336666666666666;45.336666666666666;45.336666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"HEINIKEN BEER";1;24;1;1;84.05;84.05;84.05;507.0;515.0;1040.0;573.0;294.0;378.0;338;27.0;60.0;522.0;4254.0;177.25;357548.7
"BEER: DOMESTIC";"KINGFISHER CAN";1;24;1;1;52.69;52.69;52.69;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"KINGFISHER REGULAR";1;24;1;1;69.123;69.123;69.123;298.0;1201.0;1500.0;737.0;583.0;840.0;722;22.0;231.0;431.0;6565.0;273.5416666666667;453792.49500000005
"BEER: DOMESTIC";"KINGFISHER ULTRA MAX";1;24;1;1;61.98;61.98;61.98;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"KINGFISHER ULTRABEER               ";1;24;1;1;74.75;74.75;74.75;782.0;812.0;957.0;797.0;683.0;754.0;618;7.0;190.0;485.0;6085.0;253.54166666666666;454853.75
"BEER: DOMESTIC";"MILLER ACE BEER               ";1;24;1;1;59.01583333333334;59.01583333333334;59.01583333333334;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"MILLER BEER                   ";1;24;1;1;55.889166666666675;55.889166666666675;55.889166666666675;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"BEER: DOMESTIC";"TUBORG BEER                   ";1;24;1;1;56.07;56.07;56.07;430.0;441.0;292.0;495.0;322.0;305.0;307;36.0;359.0;348.0;3335.0;138.95833333333334;186993.45
"BEER: DOMESTIC";"HENNEYS STILL CIDER BEER";1;24;1;1;530.39;530.39;530.39;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
